t_ms,mode,phase,elapsed_s,target_c,measured_c,sensor_valid,error_c,p_term,i_term,d_term,pid_raw_pct,hard_cutoff,requested_heater_pct,applied_heater_pct,target_fan_pct,real_fan_pct,kp,ki,kd,protector_open,protector_trips,protector_ceiling_c
197195,MANUAL,IDLE,0,170.0,111.3,1,58.67,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
198195,MANUAL,IDLE,0,170.0,110.2,1,59.82,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
199195,MANUAL,IDLE,0,170.0,109.1,1,60.91,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
200195,MANUAL,IDLE,0,170.0,108.4,1,61.61,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
201197,MANUAL,IDLE,0,170.0,107.6,1,62.39,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
202195,MANUAL,IDLE,0,170.0,106.7,1,63.33,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
203195,MANUAL,IDLE,0,170.0,105.9,1,64.14,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
204195,MANUAL,IDLE,0,170.0,105.2,1,64.80,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
205195,MANUAL,IDLE,0,170.0,104.4,1,65.56,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
206195,MANUAL,IDLE,0,170.0,103.4,1,66.58,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
207195,MANUAL,IDLE,0,170.0,102.5,1,67.50,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
208195,MANUAL,IDLE,0,170.0,101.4,1,68.61,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
209195,MANUAL,IDLE,0,170.0,100.0,1,69.95,0.00,0.00,0.00,0.00,1,0,0,100,100,0.8576,0.0307,14.9737,1,2,103.9
